"Timestamp","Which season of Orange is the New Black was your favourite?","Who are you most excited to see back?"
"2017/06/09 1:11:53 am CET","Season 4","Red"
"2017/06/09 1:13:15 am CET","Season 4","Nicky"
"2017/06/09 1:13:26 am CET","Season 1","Red"
"2017/06/09 1:15:29 am CET","Season 4","Nicky"
"2017/06/09 1:15:31 am CET","Season 4","Vause"
"2017/06/09 1:16:06 am CET","Season 4","Vause"
"2017/06/09 1:19:36 am CET","Season 1","Nicky"
"2017/06/09 1:22:19 am CET","Season 3","Red"
"2017/06/09 1:24:10 am CET","Season 1","Crazy Eyes"
"2017/06/09 1:26:31 am CET","Season 4","Crazy Eyes"
"2017/06/09 1:31:29 am CET","Season 1","Nicky"
"2017/06/09 1:33:08 am CET","Season 2","Crazy Eyes"
"2017/06/09 1:33:44 am CET","Season 2","Daya Diaz"
"2017/06/09 1:36:36 am CET","Season 1","Nicky"
"2017/06/09 1:40:53 am CET","Season 1","Red"
"2017/06/09 1:41:20 am CET","Season 4","Nicky"
"2017/06/09 1:41:26 am CET","Season 3","Nicky"
"2017/06/09 1:41:46 am CET","Season 1","Red"
"2017/06/09 1:42:12 am CET","Season 2","Piper"
"2017/06/09 1:44:41 am CET","Season 4","Red"
"2017/06/09 1:44:55 am CET","Season 1","Daya Diaz"
"2017/06/09 1:45:31 am CET","Season 1","Burset"
"2017/06/09 1:47:54 am CET","Season 4","Nicky"
"2017/06/09 1:49:37 am CET","Season 1","Taystee"
"2017/06/09 1:50:09 am CET","Season 4","Vause"
"2017/06/09 1:51:30 am CET","Season 1","Nicky"
"2017/06/09 1:54:34 am CET","Season 4","Nicky"
"2017/06/09 1:55:14 am CET","Season 4","Taystee"
"2017/06/09 1:56:51 am CET","Season 4","Red"
"2017/06/09 1:57:32 am CET","Season 4","Red"
"2017/06/09 1:59:11 am CET","Season 1","Norma"
"2017/06/09 2:02:03 am CET","Season 1","Nicky"
"2017/06/09 2:05:49 am CET","Season 2","Taystee"
"2017/06/09 2:06:25 am CET","Season 4","Taystee"
"2017/06/09 2:07:10 am CET","Season 1","Taystee"
"2017/06/09 2:07:53 am CET","Season 4","Nicky"
"2017/06/09 2:08:08 am CET","Season 1","Red"
"2017/06/09 2:09:02 am CET","Season 4","Nicky"
"2017/06/09 2:09:11 am CET","Season 1","Taystee"
"2017/06/09 2:10:46 am CET","Season 4","Nicky"
"2017/06/09 2:12:14 am CET","Season 4","Taystee"
"2017/06/09 2:15:25 am CET","Season 1","Vause"
"2017/06/09 2:15:28 am CET","Season 2","Nicky"
"2017/06/09 2:15:35 am CET","Season 1","Red"
"2017/06/09 2:18:41 am CET","Season 2","Red"
"2017/06/09 2:19:13 am CET","Season 4","Red"
"2017/06/09 2:19:49 am CET","Season 2","Red"
"2017/06/09 2:20:13 am CET","Season 1","Taystee"
"2017/06/09 2:22:54 am CET","Season 1","Daya Diaz"
"2017/06/09 2:22:59 am CET","Season 4","Taystee"
"2017/06/09 2:25:49 am CET","Season 2","Red"
"2017/06/09 2:26:34 am CET","Season 2","Vause"
"2017/06/09 2:27:23 am CET","Season 4","Daya Diaz"
"2017/06/09 2:27:37 am CET","Season 1","Nicky"
"2017/06/09 2:27:48 am CET","Season 3","Crazy Eyes"
"2017/06/09 2:29:32 am CET","Season 1","Vause"
"2017/06/09 2:30:47 am CET","Season 4","Taystee"
"2017/06/09 2:32:13 am CET","Season 3","Taystee"
"2017/06/09 2:32:44 am CET","Season 1","Vause"
"2017/06/09 2:35:41 am CET","Season 2","Taystee"
"2017/06/09 2:36:13 am CET","Season 1","Crazy Eyes"
"2017/06/09 2:37:04 am CET","Season 1","Taystee"
"2017/06/09 2:37:17 am CET","Season 1","Vause"
"2017/06/09 2:37:30 am CET","Season 3","Taystee"
"2017/06/09 2:38:20 am CET","Season 4","Burset"
"2017/06/09 2:41:11 am CET","Season 2","Nicky"
"2017/06/09 2:42:14 am CET","Season 1","Piper"
"2017/06/09 2:49:23 am CET","Season 1","Crazy Eyes"
"2017/06/09 2:52:13 am CET","Season 1","Nicky"
"2017/06/09 2:52:40 am CET","Season 4","Vause"
"2017/06/09 2:52:50 am CET","Season 1","Red"
"2017/06/09 2:56:51 am CET","Season 4","Vause"
"2017/06/09 2:57:05 am CET","Season 3","Nicky"
"2017/06/09 2:57:09 am CET","Season 1","Vause"
"2017/06/09 2:57:29 am CET","Season 2","Daya Diaz"
"2017/06/09 3:00:05 am CET","Season 2","Red"
"2017/06/09 3:01:28 am CET","Season 4","Vause"
"2017/06/09 3:05:25 am CET","Season 2","Crazy Eyes"
"2017/06/09 3:05:52 am CET","Season 2","Vause"
"2017/06/09 3:06:04 am CET","Season 2","Nicky"
"2017/06/09 3:06:28 am CET","Season 4","Nicky"
"2017/06/09 3:11:50 am CET","Season 1","Nicky"
"2017/06/09 3:14:17 am CET","Season 3","Daya Diaz"
"2017/06/09 3:18:41 am CET","Season 1","Vause"
"2017/06/09 3:18:41 am CET","Season 2","Taystee"
"2017/06/09 3:21:48 am CET","Season 2","Crazy Eyes"
"2017/06/09 3:23:51 am CET","Season 4","Red"
"2017/06/09 3:24:55 am CET","Season 4","Burset"
"2017/06/09 3:25:55 am CET","Season 4","Vause"
"2017/06/09 3:31:20 am CET","Season 1","Piper"
"2017/06/09 3:32:11 am CET","Season 4","Crazy Eyes"
"2017/06/09 3:33:24 am CET","Season 2","Red"
"2017/06/09 3:35:10 am CET","Season 2","Taystee"
"2017/06/09 3:38:12 am CET","Season 3","Crazy Eyes"
"2017/06/09 3:38:14 am CET","Season 4","Nicky"
"2017/06/09 3:41:03 am CET","Season 2","Nicky"
"2017/06/09 3:42:10 am CET","Season 4","Burset"
"2017/06/09 3:46:06 am CET","Season 1","Crazy Eyes"
"2017/06/09 3:46:30 am CET","Season 2","Red"
"2017/06/09 3:48:04 am CET","Season 1","Crazy Eyes"
"2017/06/09 3:48:10 am CET","Season 2","Daya Diaz"
"2017/06/09 3:48:41 am CET","Season 2",""
"2017/06/09 3:49:39 am CET","Season 1","Crazy Eyes"
"2017/06/09 3:53:12 am CET","Season 4","Red"
"2017/06/09 3:53:32 am CET","Season 4","Taystee"
"2017/06/09 3:54:15 am CET","Season 4","Red"
"2017/06/09 3:55:16 am CET","Season 4","Taystee"
"2017/06/09 3:57:31 am CET","Season 4","Piper"
"2017/06/09 4:04:13 am CET","Season 1","Nicky"
"2017/06/09 4:04:50 am CET","Season 4","Vause"
"2017/06/09 4:07:57 am CET","Season 4","Red"
"2017/06/09 4:08:02 am CET","Season 2","Taystee"
"2017/06/09 4:10:55 am CET","Season 2","Red"
"2017/06/09 4:13:26 am CET","Season 2","Red"
"2017/06/09 4:15:31 am CET","Season 4","Taystee"
"2017/06/09 4:16:51 am CET","Season 4","Nicky"
"2017/06/09 4:17:37 am CET","Season 1","Taystee"
"2017/06/09 4:18:41 am CET","Season 1","Morello"
"2017/06/09 4:22:29 am CET","Season 4","Nicky"
"2017/06/09 4:22:34 am CET","Season 1","Daya Diaz"
"2017/06/09 4:22:54 am CET","Season 2","Crazy Eyes"
"2017/06/09 4:23:17 am CET","Season 1","Taystee"
"2017/06/09 4:23:30 am CET","Season 2","Vause"
"2017/06/09 4:23:56 am CET","Season 4","Taystee"
"2017/06/09 4:24:38 am CET","Season 1","Nicky"
"2017/06/09 4:25:15 am CET","Season 4","Daya Diaz"
"2017/06/09 4:29:16 am CET","Season 2","Taystee"
"2017/06/09 4:34:50 am CET","Season 2","Taystee"
"2017/06/09 4:37:08 am CET","Season 3","Taystee"
"2017/06/09 4:38:30 am CET","Season 3","Red"
"2017/06/09 4:39:16 am CET","Season 3","Nicky"
"2017/06/09 4:42:11 am CET","Season 3","Piper"
"2017/06/09 4:42:23 am CET","Season 4","Crazy Eyes"
"2017/06/09 4:44:17 am CET","Season 2","Daya Diaz"
"2017/06/09 4:44:25 am CET","Season 4","Piper"
"2017/06/09 4:49:03 am CET","Season 2","Daya Diaz"
"2017/06/09 4:49:30 am CET","Season 1","Burset"
"2017/06/09 4:49:50 am CET","Season 4","Taystee"
"2017/06/09 4:52:05 am CET","Season 2","Nicky"
"2017/06/09 4:52:47 am CET","Season 1","Nicky"
"2017/06/09 4:54:12 am CET","Season 2","Nicky"
"2017/06/09 4:55:05 am CET","Season 4","Daya Diaz"
"2017/06/09 4:55:25 am CET","Season 1","Nicky"
"2017/06/09 4:56:41 am CET","Season 3","Nicky"
"2017/06/09 4:58:48 am CET","Season 1","Nicky"
"2017/06/09 4:59:39 am CET","Season 4","Red"
"2017/06/09 5:02:18 am CET","Season 1","Vause"
"2017/06/09 5:02:39 am CET","Season 1","Crazy Eyes"
"2017/06/09 5:04:35 am CET","Season 2","Taystee"
"2017/06/09 5:05:09 am CET","Season 1","Nicky"
"2017/06/09 5:06:00 am CET","Season 4","Vause"
"2017/06/09 5:06:11 am CET","Season 2","Crazy Eyes"
"2017/06/09 5:06:41 am CET","Season 2","Morello"
"2017/06/09 5:07:31 am CET","Season 2","Taystee"
"2017/06/09 5:08:05 am CET","Season 3","Taystee"
"2017/06/09 5:09:27 am CET","Season 2","Red"
"2017/06/09 5:10:05 am CET","Season 3","Vause"
"2017/06/09 5:11:34 am CET","Season 1","Vause"
